q26;Qu'est-ce qu'une SIAE ?;Une Société à Impact par l'Activité Economique; Une nouvelle forme d'entreprise qui emploie des personnes en situation de handicap; Une Structure d'Insertion par l'Activité Economique;Proposition3
q27;Est-ce légal d'être réfugié ?;Oui;Non;;Proposition1
q28;"Les femmes sont sous-représentées à la télévision et à la radio ; quelle proportion des personnes à l'antenne représentent-elles ?"; 2%; 10%; 38%;Proposition3
q29;Que signifie RGAA ?;Régime Général de l'Accessibilité Amplifiée;Référentiel Général d'Amélioration de l'Accessibilité;Rapport Générique sur l'Amélioration des Achats inclusifs;Proposition2
q30;Qu'est-ce que la diversité en milieu de travail ?;La présence de personnes ayant des opinions politiques différentes;La présence de personnes de différentes origines ethniques, genres, âges, religions, orientations sexuelles et capacités;La présence de personnes ayant des niveaux d'expérience professionnelle différents;Proposition2
q31;Pourquoi est-il important de promouvoir l'inclusion dans le milieu professionnel ?;Pour respecter les lois sur la diversité;Pour éviter les conflits entre employés;Pour améliorer la performance de l'entreprise en bénéficiant de perspectives variées;Proposition3
q32;Quel est un exemple de biais inconscient en milieu de travail ?;Choisir un candidat parce qu'il a les compétences nécessaires;Préférer un candidat parce qu'il vient de la même université que vous;Rejeter un candidat sans examiner son CV;Proposition2
q33;Quelle est la différence entre diversité et inclusion ?;La diversité est la présence de différences, l'inclusion est la valorisation de ces différences;La diversité concerne uniquement les origines ethniques, l'inclusion concerne tout le monde;La diversité est obligatoire, l'inclusion est facultative;Proposition1
q34;Quel est un exemple de pratique inclusive lors de réunions ?;Laisser toujours la même personne parler en premier;Encourager la participation de tous les membres de l'équipe;Ne pas permettre les interruptions;Proposition2
q35;Pourquoi les entreprises devraient-elles former leurs employés à la diversité et à l'inclusion ?;Pour éviter des amendes;Pour suivre les tendances du marché;Pour créer un environnement de travail plus harmonieux et productif;Proposition3
q36;Quel est le rôle des Affinity Groups (groupes d'affinité) dans une organisation ?;Organiser des activités sociales pour les employés;Soutenir les employés de groupes sous-représentés et promouvoir l'inclusion;Recruter de nouveaux employés;Proposition2
q37;Comment peut-on reconnaître une organisation inclusive ?;Elle a une politique de diversité et inclusion bien définie;Elle organise régulièrement des fêtes pour ses employés;Elle suit toutes les lois locales sur l'emploi;Proposition1
q38;Quel est un signe de discrimination subtile au travail ?;Refuser une promotion à une personne qualifiée sans raison valable;Encourager l'équipe à participer à des activités de team building;Offrir des opportunités de formation à tous les employés;Proposition1
q39;"Que signifie le terme ""intersectionnalité"" ?";L'étude de l'impact des différences de genres;La promotion des droits des femmes;La reconnaissance de la manière dont différentes formes de discrimination se croisent et s'additionnent;Proposition3
q40;Pourquoi est-il important de comprendre les différentes cultures dans un milieu de travail international ?;Pour imposer des normes culturelles;Pour organiser des fêtes culturelles;Pour favoriser la collaboration et éviter les malentendus;Proposition3
q41;Quel est un exemple de sensibilité culturelle en communication ?;Utiliser un langage respectueux et éviter les stéréotypes;Parler uniquement dans sa langue maternelle;Ignorer les différences culturelles pour éviter les conflits;Proposition1
q42;"Que signifie le terme ""compétence interculturelle"" ?";La capacité à travailler efficacement avec des personnes de cultures différentes;La maîtrise de plusieurs langues étrangères;La connaissance des lois internationales;Proposition1
q43;Comment peut-on montrer du respect pour les pratiques culturelles différentes au travail ?;En ignorant ces pratiques;En s'informant et en participant aux célébrations culturelles;En demandant aux autres de s'adapter à votre culture;Proposition2
q44;Pourquoi est-il important d'éviter les stéréotypes culturels ?;Pour ne pas offenser ou marginaliser les individus;Pour rendre les interactions plus simples;Pour améliorer la productivité;Proposition1
q45;Quelle est une bonne pratique pour gérer une équipe multiculturelle ?;Appliquer les mêmes règles culturelles pour tous;Reconnaître et respecter les différences culturelles dans les styles de travail et de communication;Demander à tout le monde de parler la même langue;Proposition2
q46;"Que signifie ""adaptation culturelle"" dans un contexte professionnel ?";Changer complètement sa culture d'origine;Ignorer sa propre culture pour s'intégrer;Adopter des comportements respectueux et appropriés dans une culture différente;Proposition3
q47;Comment une entreprise peut-elle promouvoir la sensibilité culturelle parmi ses employés ?;En organisant des formations sur la diversité et la sensibilité culturelle;En imposant une culture unique à tous les employés;En évitant de parler de culture au travail;Proposition1
q48;Quel est un signe de manque de sensibilité culturelle ?;Poser des questions pour mieux comprendre une culture;Faire des blagues ou des commentaires stéréotypés;Participer à des événements culturels;Proposition2
q49;Pourquoi est-il important de reconnaître les jours fériés et les célébrations culturelles des autres ?;Pour pouvoir prendre des jours de congé supplémentaires;Pour éviter de travailler ces jours-là;Pour montrer du respect et créer un environnement inclusif;Proposition3
q50;Quel est un avantage clé de l'inclusion au travail ?;Réduction des coûts;Augmentation de la compétition entre employés;Amélioration de la créativité et de l'innovation;Proposition3
q51;"Que signifie le terme ""environnement de travail inclusif"" ?";Un lieu où tous les employés sont traités de manière équitable, avec respect et valorisation de leurs différences;Un lieu où les employés doivent se conformer à une culture unique;Un lieu où seules les compétences techniques sont valorisées;Proposition1
q52;Comment un employeur peut-il promouvoir l'inclusion au travail ?;En organisant des sessions de formation sur la diversité et l'inclusion;En demandant à tous les employés de suivre les mêmes pratiques culturelles;En ignorant les différences individuelles;Proposition1
q53;Pourquoi est-il important d'inclure différentes perspectives dans la prise de décision ?;Pour accélérer le processus de décision;Pour enrichir les discussions et trouver des solutions plus innovantes;Pour éviter les conflits;Proposition2
q54;Quel est un exemple de politique inclusive en matière de recrutement ?;Embaucher uniquement des personnes issues des mêmes écoles;Recruter uniquement sur recommandation interne;Utiliser des pratiques de recrutement qui éliminent les biais inconscients;Proposition3
q55;Comment une organisation peut-elle soutenir les employés en situation de handicap ?;En ne faisant aucune adaptation pour éviter des traitements de faveur;En fournissant des aménagements raisonnables et nécessaires pour leur permettre de travailler efficacement;En les plaçant dans des postes moins exigeants;Proposition2
q56;Quel est un exemple d'initiative pour favoriser l'inclusion des employés LGBTQ+ ?;Créer un groupe de soutien interne pour les employés LGBTQ+;Organiser des événements sociaux uniquement pour ce groupe;Ne pas aborder les questions liées à l'orientation sexuelle pour éviter les malaises;Proposition1
q57;Pourquoi est-il important de recueillir des feedbacks sur les initiatives d'inclusion ?;Pour pouvoir justifier les budgets alloués;Pour obtenir des récompenses externes;Pour comprendre leur impact et identifier des pistes d'amélioration;Proposition3
q58;"Que signifie le terme ""culture d'inclusion"" ?";Une culture d'entreprise où seules certaines voix sont entendues;Une culture où la diversité est célébrée et où chaque individu se sent valorisé et respecté;Une culture où les règles sont strictement appliquées;Proposition2
q59;Comment peut-on encourager l'inclusion lors des réunions d'équipe ?;En permettant uniquement aux membres les plus anciens de parler;En limitant les discussions pour gagner du temps;En veillant à ce que chacun ait l'occasion de s'exprimer et en valorisant toutes les contributions;Proposition3
q60;Pourquoi est-il important d'assurer l'accessibilité des lieux de travail pour les personnes en situation de handicap ?;Pour se conformer aux lois;Pour garantir que tous les employés puissent travailler de manière efficace et sécurisée;Pour attirer plus de clients;Proposition2
q61;Quel est un exemple d'aménagement raisonnable pour un employé en fauteuil roulant ?;Fournir une chaise ergonomique;Offrir des horaires de travail flexibles;Installer des rampes et des ascenseurs;Proposition3
q62;Comment les technologies d'assistance peuvent-elles aider les employés ayant une déficience visuelle ?;En fournissant des dispositifs de lecture d'écran et des logiciels de grossissement de texte;En augmentant la luminosité des écrans;En fournissant des écrans plus grands;Proposition1
q63;Pourquoi est-il important d'avoir des documents accessibles pour tous les employés ?;Pour s'assurer que les informations sont disponibles pour tous, y compris ceux ayant des déficiences visuelles ou auditives;Pour réduire les coûts d'impression;Pour améliorer la rapidité de lecture;Proposition1
q64;Quel est un exemple de pratique accessible pour les réunions ?;Tenir les réunions dans des salles situées uniquement au rez-de-chaussée;Fournir des transcriptions ou des sous-titres pour les employés malentendants;Limiter la durée des réunions;Proposition2
q65;Quelle est une bonne pratique pour rendre un site web accessible ?;Utiliser uniquement des images de haute qualité;Limiter le contenu du site;Ajouter des descriptions alternatives pour les images;Proposition3
q66;Pourquoi est-il important d'avoir des options de transport accessibles pour les employés ?;Pour réduire les retards;Pour s'assurer que les employés ayant des besoins spécifiques puissent se rendre au travail sans difficulté;Pour augmenter le nombre de parkings;Proposition2
q67;Quel est un exemple d'ajustement pour un employé ayant une déficience auditive ?;Fournir un casque antibruit;Fournir des interprètes en langue des signes ou des appareils auditifs;Augmenter le volume des réunions;Proposition2
q68;Comment peut-on rendre les formations accessibles à tous les employés ?;En fournissant uniquement des manuels écrits;En réduisant la durée des formations;En utilisant des formats multimédias, des sous-titres et des transcriptions;Proposition3
q69;Pourquoi est-il important d'impliquer les personnes en situation de handicap dans la planification de l'accessibilité ?;Pour s'assurer que les aménagements répondent réellement à leurs besoins;Pour obtenir des subventions gouvernementales;Pour respecter les quotas d'embauche;Proposition1
q70;Qu'est-ce que l'inclusion digitale ?;L'accès pour tous aux technologies numériques et à Internet;L'utilisation de smartphones uniquement;La réduction du temps passé en ligne;Proposition1
q71;Pourquoi est-il important de concevoir des sites web accessibles ?;Pour améliorer le classement SEO;Pour garantir que tous les utilisateurs, y compris ceux ayant des handicaps, puissent accéder aux informations et services en ligne;Pour réduire les coûts de développement;Proposition2
q72;Quel est un exemple de pratique d'inclusion digitale ?;Utiliser des polices de caractères stylisées et complexes;Limiter l'accès aux sites web uniquement aux heures de bureau;Fournir des options de contraste élevé et des descriptions alternatives pour les images;Proposition3
q73;Comment les sous-titres peuvent-ils aider à l'inclusion digitale ?;En permettant à tous les utilisateurs de comprendre le contenu vidéo, y compris ceux ayant des déficiences auditives;En augmentant le temps de visionnage des vidéos;En rendant les vidéos plus divertissantes;Proposition1
q74;Quel outil peut aider les personnes ayant des déficiences visuelles à utiliser un ordinateur ?;Un logiciel de traitement de texte;Un antivirus;Un lecteur d'écran;Proposition3
q75;Pourquoi est-il important d'utiliser des descriptions alternatives (alt text) pour les images en ligne ?;Pour améliorer l'esthétique du site web;Pour fournir des descriptions des images aux utilisateurs utilisant des lecteurs d'écran;Pour augmenter le nombre d'images sur le site;Proposition2
q76;"Qu'est-ce que le concept de ""design universel"" ?";Concevoir pour un seul groupe d'utilisateurs;Concevoir des produits et environnements utilisables par tous, sans besoin d'adaptation;Concevoir des produits uniquement pour les utilisateurs avancés;Proposition2
q77;Quelle est une caractéristique d'un site web accessible ?;Utilisation d'animations complexes;Pages longues sans sections;Navigation clavier accessible;Proposition3
q78;Comment les formulaires en ligne peuvent-ils être rendus plus accessibles ?;En utilisant uniquement des champs obligatoires;En ajoutant des étiquettes claires et des instructions pour chaque champ;En réduisant le nombre de champs;Proposition2
q79;Pourquoi l'accessibilité numérique est-elle bénéfique pour les entreprises ?;Elle permet de toucher un public plus large, y compris les personnes handicapées;Elle augmente les coûts de développement;Elle limite le contenu accessible;Proposition1
q80;Quel est un exemple de barrière digitale pour les personnes âgées ?;La vitesse de connexion Internet;Des interfaces complexes et non intuitives;Le coût des appareils numériques;Proposition2
q81;Quel est un exemple de pratique inclusive lors des entretiens d'embauche ?;Poser des questions sur la vie personnelle du candidat;Ne pas informer le candidat sur les politiques d'inclusion de l'entreprise;Utiliser des panels de recrutement diversifiés pour éviter les biais;Proposition3
q82;Pourquoi est-il important de sensibiliser tous les employés aux pratiques inclusives ?;Pour augmenter les heures de formation;Pour créer un environnement de travail respectueux et équitable pour tous;Pour éviter de parler de diversité au travail;Proposition2
q83;Quel est un exemple de mesure proactive pour encourager la diversité dans les équipes ?;Encourager uniquement les personnes ayant un parcours similaire;Ignorer les différences culturelles et personnelles;Promouvoir des opportunités de développement et de mentorat pour les groupes sous-représentés;Proposition3
q84;Comment une entreprise peut-elle soutenir l'équilibre travail-vie personnelle pour tous les employés ?;En offrant des horaires flexibles et des options de télétravail;En augmentant les heures de travail obligatoires;En évitant de discuter de la vie personnelle des employés;Proposition1
q85;Pourquoi est-il important d'avoir des politiques claires contre la discrimination et le harcèlement ?;Pour se conformer aux exigences légales;Pour créer un environnement sûr et respectueux pour tous les employés;Pour éviter les plaintes des employés;Proposition2
q86;Quel est un exemple de pratique inclusive dans la communication interne ?;Utiliser un langage simple et clair, accessible à tous les employés;Communiquer uniquement avec les cadres supérieurs;Limiter les communications internes aux annonces officielles;Proposition1
q87;Comment les entreprises peuvent-elles rendre les formations plus inclusives ?;En offrant des formations uniquement en présentiel;En fournissant des options de formation en ligne et en plusieurs langues;En réduisant le nombre de formations proposées;Proposition2
q88;Pourquoi est-il bénéfique d'avoir une équipe diversifiée ?;Pour éviter les conflits;Pour rendre la gestion de l'équipe plus difficile;Pour apporter une variété de perspectives et d'idées, ce qui peut stimuler l'innovation;Proposition3
q89;Quel est un signe de culture d'entreprise inclusive ?;La présence de groupes d'affinité pour soutenir divers employés;Une hiérarchie stricte avec peu de communication entre les niveaux;Un nombre limité de réunions d'équipe;Proposition1
q90;Comment une entreprise peut-elle assurer l'inclusion des parents travaillant ?;En offrant des congés parentaux payés et des horaires flexibles;En exigeant des heures de travail supplémentaires;En ne fournissant aucun soutien spécifique;Proposition1
q91;Qu'est-ce que la communication inclusive ?;Utiliser un langage qui respecte et valorise toutes les personnes, quelles que soient leurs différences;Utiliser un langage technique et complexe;Limiter la communication aux échanges professionnels uniquement;Proposition1
q92;Pourquoi est-il important d'utiliser un langage inclusif au travail ?;Pour éviter des malentendus;Pour créer un environnement de travail respectueux et accueillant pour tous;Pour impressionner les collègues;Proposition2
q93;Quel est un exemple de langage inclusif concernant les titres de poste ?;"Utiliser ""homme d'affaires"" pour tous les employés";"Utiliser des titres de poste neutres, comme ""responsable"" au lieu de ""directeur"" ou ""directrice""";Utiliser des abréviations pour les titres de poste;Proposition2
q94;Comment pouvez-vous assurer que vos emails professionnels soient inclusifs ?;En utilisant des formules de politesse standard;En utilisant des noms génériques pour les destinataires;En évitant les expressions genrées et en utilisant des salutations neutres;Proposition3
q95;Pourquoi est-il important de solliciter et de valoriser les opinions de tous les membres de l'équipe ?;Pour gagner du temps;Pour promouvoir l'inclusivité et s'assurer que toutes les voix soient entendues;Pour remplir des obligations légales;Proposition2
q96;Quel est un exemple de pratique inclusive lors des présentations ?;Utiliser un jargon technique spécifique;Fournir des supports de présentation accessibles, comme des sous-titres et des transcriptions;Parler rapidement pour couvrir plus de sujets;Proposition2
q97;Comment pouvez-vous montrer du respect pour les différentes langues parlées dans une équipe ?;En imposant l'utilisation d'une seule langue;En encourageant l'utilisation de plusieurs langues et en fournissant des traductions si nécessaire;En évitant de discuter des différences linguistiques;Proposition2
q98;Pourquoi est-il important d'éviter les acronymes et abréviations dans les communications inclusives ?;Pour rendre la communication plus professionnelle;Pour s'assurer que tout le monde comprenne clairement le message, sans exclure ceux qui pourraient ne pas connaître les termes;Pour rendre les messages plus courts;Proposition2
q99;Quel est un exemple de question inclusive lors d'une réunion ?;"""Quelqu'un a-t-il des commentaires ?""";"""Est-ce que tout le monde comprend ?""";"""Quelles sont vos opinions sur ce sujet ?""";Proposition3
q100;Comment pouvez-vous améliorer l'accessibilité de vos communications écrites ?;En utilisant des polices de caractères claires et une mise en page structurée;En réduisant la taille du texte;En utilisant des couleurs vives et variées;Proposition1
q101;Vous remarquez qu'un collègue est régulièrement interrompu pendant les réunions. Que devriez-vous faire ?;Intervenir et rappeler à l'équipe l'importance de laisser chacun s'exprimer sans interruption;Ignorer la situation;Parler en privé avec le collègue pour lui conseiller de parler plus fort;Proposition1
q102;Un employé partage qu'il a du mal à comprendre les instructions données uniquement à l'oral. Quelle serait une pratique inclusive ?;Continuer à donner les instructions à l'oral uniquement;Fournir les instructions par écrit en plus de les donner à l'oral;Demander à un collègue de les réexpliquer;Proposition2
q103;Vous organisez une fête d'entreprise et souhaitez inclure tous les employés. Quelle option respecterait le plus la diversité ?;Choisir une seule cuisine pour le repas;Proposer uniquement des plats végétariens;Offrir une variété de plats respectant différentes préférences culturelles et alimentaires;Proposition3
q104;Un collègue utilise un langage potentiellement offensant sans s'en rendre compte. Comment réagissez-vous ?;Lui parler en privé pour expliquer pourquoi son langage peut être offensant et proposer des alternatives;L'ignorer pour éviter le conflit;Envoyer un email à toute l'équipe pour rappeler les règles de communication;Proposition1
q105;Une réunion est prévue pendant une fête religieuse importante pour certains membres de l'équipe. Que devriez-vous faire ?;Maintenir la réunion telle quelle;Reprogrammer la réunion pour une autre date afin que tout le monde puisse y assister;Demander aux membres concernés de rattraper la réunion plus tard;Proposition2
q106;Vous remarquez qu'un nouvel employé semble isolé et ne participe pas aux discussions. Quelle est la meilleure approche ?;Ignorer la situation, pensant qu'il s'intégrera avec le temps;Lui demander directement pourquoi il ne participe pas;L'inviter activement à participer et lui présenter les autres membres de l'équipe;Proposition3
q107;Un collègue demande un aménagement de poste en raison d'un handicap. Quelle serait une réponse appropriée ?;Travailler avec lui pour comprendre ses besoins et voir comment l'entreprise peut y répondre;Refuser la demande pour maintenir l'équité;Proposer de changer son poste;Proposition1
q108;Lors d'une formation, vous remarquez que certains participants ont des difficultés à suivre. Que faites-vous ?;Continuer la formation sans changement;Adapter la formation en utilisant des supports visuels et des pauses pour répondre aux questions;Proposer une formation de rattrapage après la session;Proposition2
q109;Un collègue exprime des préoccupations concernant un projet en raison de différences culturelles. Comment réagissez-vous ?;Ignorer les préoccupations pour ne pas ralentir le projet;Prendre le temps d'écouter ses préoccupations et chercher des solutions adaptées;Lui demander de s'adapter à la culture majoritaire;Proposition2
q110;Vous remarquez qu'un membre de l'équipe semble systématiquement exclu des activités sociales organisées par l'équipe. Que devriez-vous faire ?;Ignorer la situation en pensant que cela se résoudra naturellement;Organiser des activités spécifiques pour la personne exclue;En parler à l'équipe et trouver des moyens d'inclure tous les membres dans les activités sociales;Proposition3
